ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12589893,JF109865,01/11/2022 15:00,087XX S KINGSTON AVE,1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,RESIDENCE,FALSE,TRUE,423,4,7,46,17,1194660,1847481,2022,09/14/2023 03:41:59 PM,41.73640903,-87.56241031,"(41.736409029, -87.562410309)"
12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,724,7,16,68,26,1170805,1860170,2022,09/14/2023 03:41:59 PM,41.77178244,-87.64943693,"(41.771782439, -87.649436929)"
12785595,JF346553,08/05/2022 21:00,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,TRUE,FALSE,324,3,5,69,17,1185135,1857211,2022,09/14/2023 03:41:59 PM,41.76333797,-87.59700113,"(41.763337967, -87.597001131)"
12808281,JF373517,08/14/2022 02:00:00 PM,055XX W ARDMORE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,1621,16,39,11,17,1138383,1937953,2022,09/14/2023 03:41:59 PM,41.98587528,-87.76640386,"(41.985875279, -87.766403857)"
12888104,JF469015,11/10/2022 3:47,072XX S MAY ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,FALSE,FALSE,733,7,17,68,15,1169903,1856822,2022,09/14/2023 03:41:59 PM,41.76261474,-87.65284046,"(41.76261474, -87.652840463)"
13209277,JG422539,08/15/2022 09:00:00 AM,0000X W JACKSON BLVD,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,113,1,4,32,6,,,2022,09/14/2023 03:43:09 PM,,,
12622465,JF149923,02/19/2022 10:36:00 AM,010XX N FRANCISCO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,TRUE,TRUE,1211,12,26,24,08B,1156861,1906972,2022,09/15/2023 03:41:25 PM,41.90050559,-87.69928504,"(41.900505589, -87.699285044)"
12640859,JF172230,03/13/2022 05:15:00 AM,012XX W PRATT BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,2431,24,49,1,08B,1166646,1945317,2022,09/15/2023 03:41:25 PM,42.00552183,-87.66224145,"(42.00552183, -87.662241448)"
12667337,JF203985,04/10/2022 21:38,011XX N CHERRY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,TRUE,TRUE,1822,18,27,8,26,1169620,1907431,2022,09/15/2023 03:41:25 PM,41.90149679,-87.65240739,"(41.901496787, -87.652407386)"
12671049,JF208259,04/14/2022 10:10:00 PM,003XX E OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,TRUE,TRUE,1834,18,2,8,08B,1178915,1904276,2022,09/15/2023 03:41:25 PM,41.8926318,-87.61836282,"(41.892631803, -87.618362824)"
12678035,JF216671,04/22/2022 11:30:00 PM,044XX N BROADWAY,810,THEFT,OVER $500,APARTMENT,TRUE,TRUE,1914,19,46,3,6,1168614,1929562,2022,09/15/2023 03:41:25 PM,41.96224718,-87.6554598,"(41.962247182, -87.6554598)"
12735680,JF286563,06/20/2022 12:50:00 AM,085XX S PEORIA ST,041A,BATTERY,AGGRAVATED - HANDGUN,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,613,6,17,71,04B,1171804,1848175,2022,09/15/2023 03:41:25 PM,41.73884477,-87.64612615,"(41.738844769, -87.646126146)"
12792322,JF354686,08/12/2022 1:00,062XX S KILDARE AVE,263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,TRUE,TRUE,813,8,13,65,2,1148777,1862896,2022,09/15/2023 03:41:25 PM,41.77971533,-87.7301152,"(41.779715327, -87.730115202)"
12829768,JF398130,09/16/2022 07:00:00 AM,030XX N WHIPPLE ST,320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,FALSE,FALSE,1411,14,35,21,3,1155521,1919887,2022,09/15/2023 03:41:25 PM,41.93597248,-87.70385876,"(41.935972475, -87.703858758)"
12876410,JF454959,10/30/2022 05:30:00 AM,0000X E JACKSON BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,113,1,34,32,3,1176571,1899006,2022,09/15/2023 03:41:25 PM,41.87822391,-87.62713057,"(41.878223912, -87.627130568)"
12885646,JF465749,11/05/2022 12:49,044XX W RICE ST,620,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,TRUE,FALSE,1111,11,37,23,5,1146532,1905297,2022,09/15/2023 03:41:25 PM,41.89611242,-87.73726704,"(41.896112422, -87.737267038)"
12893219,JF474959,11/14/2022 05:00:00 PM,012XX S INDEPENDENCE BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,TRUE,FALSE,1011,10,24,29,3,1151289,1894080,2022,09/15/2023 03:41:25 PM,41.86523975,-87.72008978,"(41.865239745, -87.720089778)"
13210651,JG424030,12/29/2022 05:00:00 PM,026XX W 19TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER (SPECIFY),FALSE,FALSE,1023,10,25,30,17,1159021,1890619,2022,11/15/2023 03:41:31 PM,41.85558733,-87.69180021,"(41.855587334, -87.691800214)"
13211226,JF308371,06/07/2022 7:00,002XX S ASHLAND AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING / PROPERTY,FALSE,FALSE,1231,12,34,28,26,,,2022,09/15/2023 03:42:23 PM,,,
12928785,JF517668,12/20/2022 04:30:00 PM,076XX S MAPLEWOOD AVE,1020,ARSON,BY FIRE,RESIDENCE - GARAGE,TRUE,FALSE,835,8,18,70,9,1160707,1853794,2022,08/23/2023 03:40:54 PM,41.75450015,-87.68662881,"(41.754500145, -87.686628806)"
12713141,JF259485,05/29/2022 12:00:00 AM,014XX S MUSEUM CAMPUS DR,870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,FALSE,FALSE,132,1,4,33,6,,,2022,06/05/2022 15:40,,,
12600224,JF122258,01/24/2022 04:10:00 AM,019XX S WABASH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,131,1,3,33,08B,1177062,1890950,2022,09/16/2023 03:41:56 PM,41.85610665,-87.62557162,"(41.856106646, -87.625571623)"
12602374,JF125017,01/26/2022 05:45:00 PM,069XX N CLARK ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2424,24,49,1,08B,1163566,1945922,2022,09/16/2023 03:41:56 PM,42.00724765,-87.67355584,"(42.007247653, -87.673555844)"
12605225,JF128458,01/30/2022 05:30:00 AM,007XX W COUCH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1224,12,27,28,08B,1171188,1901470,2022,09/16/2023 03:41:56 PM,41.88510514,-87.64682318,"(41.885105137, -87.646823184)"
12617368,JF142911,02/13/2022 03:15:00 AM,009XX W SCHUBERT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1935,19,43,7,08B,1169653,1918130,2022,09/16/2023 03:41:56 PM,41.9308547,-87.65197396,"(41.930854704, -87.65197396)"
12622840,JF150396,02/20/2022 10:45:00 AM,010XX W ROSCOE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1924,19,44,6,08B,1168569,1922746,2022,09/16/2023 03:41:56 PM,41.94354479,-87.65582335,"(41.943544791, -87.655823353)"
12750558,JF304624,07/04/2022 4:00,053XX N LYNCH AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,1623,16,45,11,17,1138498,1934890,2022,09/16/2023 03:41:56 PM,41.97746807,-87.7660555,"(41.977468065, -87.766055498)"
12767058,JF324850,07/03/2022 12:00,019XX N LOWELL AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,FALSE,TRUE,2534,25,26,20,2,1147084,1912456,2022,09/16/2023 03:41:56 PM,41.91574692,-87.73505625,"(41.915746919, -87.735056247)"
12784904,JF345855,07/31/2022 07:00:00 AM,021XX N SPRINGFIELD AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,FALSE,TRUE,2525,25,35,22,2,1150028,1914097,2022,09/16/2023 03:41:56 PM,41.92019311,-87.7241973,"(41.920193109, -87.724197302)"
12812832,JF378884,06/23/2022 05:35:00 PM,026XX N MOODY AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,TRUE,2512,25,36,19,2,1134954,1916928,2022,09/16/2023 03:41:56 PM,41.92824216,-87.77951553,"(41.928242161, -87.779515528)"
13202820,JG414840,10/02/2022 21:00,054XX S INDIANA AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,231,2,3,40,2,1178100,1868327,2022,09/16/2023 03:41:56 PM,41.79400377,-87.62244876,"(41.794003774, -87.622448757)"
12931878,JF521379,12/24/2022 08:00:00 AM,021XX S MARSHALL BLVD,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE - PORCH / HALLWAY,TRUE,TRUE,1023,10,25,30,04B,1157031,1889686,2022,09/22/2023 03:41:26 PM,41.85306765,-87.69912978,"(41.853067647, -87.69912978)"
13211560,JG425458,02/26/2022 12:00:00 AM,065XX N FRANCISCO AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,FALSE,FALSE,2412,24,50,2,10,,,2022,09/16/2023 03:42:58 PM,,,
13211512,JG425328,09/13/2022 02:00:00 PM,005XX W WRIGHTWOOD AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1935,19,43,7,08A,,,2022,09/16/2023 03:42:58 PM,,,
12826755,JF395464,08/05/2022 0:00,036XX W 58TH PL,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,822,8,23,62,17,1153103,1865576,2022,09/17/2023 03:41:45 PM,41.78698528,-87.71418459,"(41.786985284, -87.714184585)"
13212633,JG426702,11/26/2022 12:00:00 AM,052XX S KEDZIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,822,8,14,63,08A,1155933,1869765,2022,11/15/2023 03:41:31 PM,41.7984241,-87.70369567,"(41.798424102, -87.703695673)"
13130275,JG328904,10/31/2022 10:21:00 PM,012XX N WOLCOTT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,1424,14,1,24,11,,,2022,07/06/2023 15:48,,,
12880678,JF460127,11/03/2022 1:35,098XX S HARVARD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,511,5,9,49,7,1175688,1839848,2022,09/18/2023 03:41:36 PM,41.71590838,-87.63214451,"(41.715908383, -87.632144511)"
13213753,JG427020,01/01/2022 6:00,014XX N SEDGWICK ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1821,18,27,8,11,,,2022,09/18/2023 03:42:32 PM,,,
13213547,JG427888,09/15/2022 05:00:00 PM,048XX S ARCHER AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,FALSE,TRUE,821,8,14,57,04B,,,2022,09/18/2023 03:42:32 PM,,,
13184937,JG393538,08/01/2022 12:00,020XX W HOMER ST,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,FALSE,TRUE,1434,14,32,22,10,,,2022,08/23/2023 03:41:55 PM,,,
12612117,JF137175,02/07/2022 21:06,031XX N CALIFORNIA AVE,610,BURGLARY,FORCIBLE ENTRY,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1411,14,35,21,5,1157169,1920611,2022,09/19/2023 03:41:47 PM,41.93792582,-87.69778247,"(41.937925817, -87.697782474)"
12643132,JF174882,03/12/2022 9:59,053XX S PRINCETON AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,935,9,20,37,17,1175194,1869503,2022,09/19/2023 03:41:47 PM,41.79729629,-87.63306971,"(41.797296285, -87.633069706)"
12628131,JF156927,02/26/2022 04:00:00 PM,070XX S PULASKI RD,325,ROBBERY,VEHICULAR HIJACKING,STREET,TRUE,FALSE,833,8,23,65,3,1150908,1857764,2022,10/03/2023 15:41,41.76559101,-87.72243622,"(41.765591005, -87.722436221)"
12628255,JF157037,02/26/2022 05:45:00 PM,002XX W 24TH PL,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,914,9,11,34,3,1174906,1888061,2022,10/03/2023 15:41,41.84822751,-87.63357157,"(41.848227511, -87.633571568)"
12831794,JF401646,09/19/2022 05:15:00 AM,008XX N WALLER AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,TRUE,TRUE,1511,15,29,25,2,1138207,1905023,2022,10/03/2023 15:41,41.89551517,-87.76785015,"(41.895515173, -87.767850151)"
12845685,JF418108,10/01/2022 15:08,083XX S KOLIN AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,TRUE,FALSE,834,8,18,70,3,1148866,1848902,2022,10/03/2023 15:41,41.74131169,-87.73014865,"(41.741311689, -87.73014865)"
12908437,JF493322,11/29/2022 07:30:00 AM,063XX S BLACKSTONE AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,OTHER RAILROAD PROPERTY / TRAIN DEPOT,FALSE,FALSE,314,3,5,42,2,1187273,1863436,2022,10/03/2023 15:41,41.78036941,-87.58896758,"(41.780369412, -87.588967581)"
13214907,JG429451,04/01/2022 10:00,056XX S HARLEM AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,FALSE,FALSE,811,8,13,56,10,,,2022,09/19/2023 03:42:46 PM,,,
13214586,JG429110,08/27/2022 09:00:00 AM,014XX W WINONA ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER (SPECIFY),FALSE,FALSE,2033,20,47,3,11,,,2022,09/19/2023 03:42:46 PM,,,
13214864,JG429366,06/27/2022 08:00:00 AM,019XX S RACINE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1235,12,25,31,11,,,2022,09/19/2023 03:42:46 PM,,,
12628303,JF156765,02/07/2022 5:13,061XX N HAMILTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,2413,24,40,2,08A,,,2022,02/27/2022 03:40:24 PM,,,
13214557,JG428772,12/29/2022 08:00:00 AM,002XX E ONTARIO ST,1120,DECEPTIVE PRACTICE,FORGERY,HOTEL / MOTEL,FALSE,FALSE,1834,18,2,8,10,1177988,1904540,2022,11/15/2023 03:41:31 PM,41.89337738,-87.62175924,"(41.893377378, -87.621759238)"
12676226,JF182188,03/21/2022 12:00:00 AM,067XX S ROCKWELL ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,832,8,16,66,26,1160200,1859965,2022,09/20/2023 03:41:26 PM,41.77144472,-87.68831724,"(41.771444724, -87.68831724)"
12792072,JF354522,08/12/2022 12:00,032XX N DAMEN AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,TRUE,FALSE,1922,19,32,5,5,1162437,1921720,2022,09/20/2023 03:41:26 PM,41.94086017,-87.6783904,"(41.940860174, -87.678390398)"
12818444,JF384876,08/29/2022 12:00:00 AM,029XX W 66TH ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,831,8,15,66,17,1158061,1860735,2022,09/20/2023 03:41:26 PM,41.77360147,-87.69613723,"(41.773601472, -87.696137229)"
12616294,JF142268,02/12/2022 12:46,054XX S LOOMIS BLVD,031A,ROBBERY,ARMED - HANDGUN,STREET,TRUE,FALSE,934,9,20,61,3,1167920,1868745,2022,11/13/2023 03:41:12 PM,41.79537575,-87.65976617,"(41.795375753, -87.659766174)"
12916441,JF502607,12/08/2022 11:05,001XX W MADISON ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,TRUE,FALSE,122,1,34,32,04B,1175437,1900364,2022,12/06/2023 15:40,41.88197587,-87.63125352,"(41.881975873, -87.631253523)"
12650349,JF169860,03/10/2022 21:33,008XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,FALSE,FALSE,712,7,16,68,15,,,2022,09/20/2023 03:42:29 PM,,,
13216176,JG430077,11/01/2022 14:25,118XX S PRINCETON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,522,5,21,53,11,,,2022,09/20/2023 03:42:29 PM,,,
13216030,JG431011,12/30/2022 02:00:00 PM,008XX W ADDISON ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,1923,19,44,6,08A,1169826,1924123,2022,11/15/2023 03:41:31 PM,41.94729598,-87.65116297,"(41.947295978, -87.651162974)"
13074510,JF404118,09/20/2022 05:43:00 PM,001XX W HARRISON ST,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,TRUE,FALSE,123,1,34,32,18,,,2022,09/23/2023 03:41:15 PM,,,
13216599,JG431432,09/17/2022 12:00:00 PM,115XX S ABERDEEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,524,5,21,53,11,,,2022,09/20/2023 03:42:29 PM,,,
12724953,JF273696,06/09/2022 16:50,056XX W DAKIN ST,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,ALLEY,FALSE,FALSE,1633,16,38,15,17,1138097,1925689,2022,09/21/2023 03:41:03 PM,41.95222696,-87.76775354,"(41.95222696, -87.767753538)"
12730088,JF279877,06/14/2022 07:39:00 PM,001XX W MARBLE PL,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,TRUE,FALSE,122,1,34,32,3,1175449,1899665,2022,09/21/2023 03:41:03 PM,41.88005751,-87.63123046,"(41.880057507, -87.631230458)"
12788789,JF350313,08/09/2022 12:20,110XX S ASHLAND AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,TRUE,FALSE,2234,22,21,75,08B,1167645,1831206,2022,09/21/2023 03:41:03 PM,41.69236932,-87.66184878,"(41.692369315, -87.661848781)"
12646302,JF175150,03/11/2022 14:10,105XX S MORGAN ST,266,CRIMINAL SEXUAL ASSAULT,PREDATORY,STREET,FALSE,FALSE,2232,22,21,73,2,1171519,1834893,2022,09/29/2023 03:41:29 PM,41.70240327,-87.64755796,"(41.702403273, -87.647557963)"
12938108,JF528867,12/29/2022 03:00:00 PM,068XX S PULASKI RD,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,833,8,23,65,6,1150875,1859126,2022,09/21/2023 03:41:03 PM,41.7693292,-87.72252173,"(41.769329199, -87.722521726)"
13217488,JG432603,01/01/2022 0:00,002XX E CHICAGO AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,HOSPITAL BUILDING / GROUNDS,FALSE,TRUE,1833,18,2,8,17,,,2022,09/21/2023 03:42:06 PM,,,
12628296,JF156473,02/05/2022 16:02,019XX S Drake Ave,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1024,10,24,29,6,,,2022,02/27/2022 03:40:24 PM,,,
13106514,JF479699,11/17/2022 06:40:00 PM,033XX W FILLMORE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,POLICE FACILITY / VEHICLE PARKING LOT,FALSE,FALSE,1134,11,24,29,15,1154228,1895173,2022,11/15/2023 03:41:31 PM,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
13216644,JG431580,05/03/2022 9:00,017XX N HALSTED ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,MOVIE HOUSE / THEATER,FALSE,FALSE,1813,18,43,7,11,,,2022,09/21/2023 03:42:06 PM,,,
13216920,JG431918,05/23/2022 09:00:00 AM,028XX N CLYBOURN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1931,19,32,5,11,,,2022,09/21/2023 03:42:06 PM,,,
13216648,JG431505,09/01/2022 0:00,078XX S ST LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,624,6,6,69,11,,,2022,09/21/2023 03:42:06 PM,,,
13216877,JG431844,05/01/2022 0:00,040XX E 134TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,433,4,10,55,11,,,2022,09/21/2023 03:42:06 PM,,,
12761338,JF317428,07/08/2022 16:03,073XX S CLYDE AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,333,3,7,43,17,,,2022,10/03/2023 15:42,,,
12683077,JF222616,04/28/2022 02:29:00 AM,063XX S DR MARTIN LUTHER KING JR DR,265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,APARTMENT,FALSE,FALSE,312,2,20,69,2,1178354,1865264,2022,09/25/2023 03:41:39 PM,41.78559284,-87.62161034,"(41.785592838, -87.621610341)"
13218113,JG433202,06/01/2022 9:00,029XX W FILLMORE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1135,11,28,29,11,,,2022,09/22/2023 03:42:13 PM,,,
13217911,JG433080,09/20/2022 12:01:00 AM,092XX S KIMBARK AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,413,4,8,47,6,,,2022,09/22/2023 03:42:13 PM,,,
12873661,JF451813,10/27/2022 12:00:00 AM,074XX S EUCLID AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,333,3,7,43,08B,1190499,1855989,2022,09/23/2023 03:41:15 PM,41.75985702,-87.57738069,"(41.759857015, -87.577380691)"
12935385,JF525743,12/28/2022 09:43:00 PM,071XX S PEORIA ST,263,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,FALSE,TRUE,733,7,17,68,2,1171540,1857545,2022,09/23/2023 03:41:15 PM,41.76456305,-87.64681946,"(41.764563048, -87.646819464)"
12891711,JF473085,11/13/2022 10:50:00 AM,015XX W LAWRENCE AVE,325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,FALSE,1912,19,47,3,3,1165119,1931954,2022,09/30/2023 03:41:20 PM,41.96888608,-87.66824118,"(41.968886076, -87.66824118)"
13133253,JG332448,06/01/2022 0:00,010XX W 18TH ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,TRUE,1235,12,25,31,2,,,2022,09/23/2023 03:41:15 PM,,,
13132180,JG331159,05/01/2022 9:00,027XX N OAK PARK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2512,25,36,18,11,,,2022,07/08/2023 15:42,,,
13132216,JG331234,06/01/2022 0:30,107XX S WENTWORTH AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,513,5,21,49,11,,,2022,07/08/2023 15:42,,,
13187659,JG396824,03/01/2022 12:00,077XX N MARSHFIELD AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,FALSE,FALSE,2422,24,49,1,11,,,2022,08/25/2023 03:41:24 PM,,,
12582824,JF101110,01/01/2022 23:00,005XX E WALDRON DR,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARK PROPERTY,FALSE,FALSE,132,1,4,33,14,1180304,1892534,2022,01/03/2023 15:40,41.86037929,-87.61362326,"(41.860379288, -87.613623264)"
12913968,JF500029,12/06/2022 11:01,038XX W ROOSEVELT RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1133,11,24,29,18,1151119,1894440,2022,01/03/2023 15:40,41.86623096,-87.72070443,"(41.866230957, -87.720704426)"
13186535,JG395618,12/14/2022 12:01:00 AM,021XX N CALIFORNIA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1431,14,1,22,11,1157342,1914571,2022,11/15/2023 03:41:31 PM,41.9213481,-87.69731133,"(41.921348097, -87.69731133)"
13186588,JG395474,07/30/2022 04:00:00 AM,031XX W 63RD ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,823,8,14,66,2,,,2022,08/25/2023 03:41:24 PM,,,
12883184,JF462965,11/05/2022 4:46,127XX S WALLACE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,523,5,9,53,14,1174630,1820336,2022,01/03/2023 15:40,41.66238803,-87.63659742,"(41.662388032, -87.636597415)"
13132404,JG331398,08/19/2022 06:00:00 AM,051XX S DORCHESTER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,234,2,4,41,6,,,2022,07/08/2023 15:42,,,
12827548,JF396414,09/14/2022 09:54:00 PM,007XX E 93RD ST,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,FALSE,FALSE,633,6,8,44,04B,1182704,1843467,2022,09/24/2023 03:41:26 PM,41.72567969,-87.60633671,"(41.725679687, -87.606336711)"
12899974,JF483393,11/21/2022 11:34:00 PM,053XX S CARPENTER ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,FALSE,FALSE,934,9,16,61,04A,1170219,1869476,2022,09/24/2023 03:41:26 PM,41.79733196,-87.65131443,"(41.797331958, -87.651314429)"
12917085,JF503457,12/06/2022 22:00,003XX W 47TH ST,460,BATTERY,SIMPLE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,FALSE,FALSE,935,9,20,37,08B,1174568,1873784,2022,09/24/2023 03:41:26 PM,41.80905774,-87.63523781,"(41.809057742, -87.635237813)"
13220430,JG436121,02/12/2022 17:00,027XX S SAWYER AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1032,10,22,30,6,,,2022,09/24/2023 03:42:42 PM,,,
